custom_id,"(000,jobs)","(100,days)","(116th,congress)","(2019,congressional)","(21st,century)","(6,million)","(9,11)","(abortion,survivors)","(access,quality)","(act,2019)","(affordable,care)","(affordable,health)","(affordable,housing)","(african,american)","(ag,barr)","(air,force)","(alive,abortion)","(american,families)","(american,people)","(american,workers)","(anti,semitic)","(anti,semitism)","(art,competition)","(attorney,barr)","(background,checks)","(bipartisan,bill)","(bipartisan,legislation)","(border,patrol)","(border,security)","(border,wall)","(born,alive)","(brave,women)","(capitol,hill)","(care,act)","(care,system)","(child,care)","(civil,rights)","(clean,energy)","(clean,water)","(climate,change)","(climate,crisis)","(climateactionnow,act)","(committee,hearing)","(common,sense)","(congressional,art)","(congressional,delegation)","(congressional,district)","(continue,fight)","(continue,support)","(counsel,mueller)","(create,jobs)","(crisis,border)","(crisis,southern)","(dc,office)","(disaster,relief)","(discharge,petition)","(domestic,violence)","(donald,trump)","(drug,prices)","(economic,development)","(economic,growth)","(election,day)","(emergency,declaration)","(equal,pay)","(existing,conditions)","(fairness,act)","(family,friends)","(farm,bill)","(farmers,ranchers)","(federal,agency)","(federal,employees)","(federal,funding)","(federal,government)","(federal,workers)","(forthepeople,act)","(forward,continuing)","(forward,seeing)","(free,internet)","(future,generations)","(george,bush)","(government,shutdown)","(green,deal)","(gt,gt)","(gun,violence)","(happy,birthday)","(happy,easter)","(health,care)","(health,insurance)","(homeland,security)","(house,democrats)","(house,dems)","(house,floor)","(house,passed)","(house,representatives)","(house,senate)","(human,rights)","(humanitarian,crisis)","(immigration,system)","(introduced,bill)","(issues,facing)","(join,colleagues)","(judiciary,committee)","(king,jr)","(law,enforcement)","(lives,lost)","(look,forward)","(looking,forward)","(loved,ones)","(low,income)","(luther,king)","(martin,luther)","(maternal,health)","(medical,care)","(mental,health)","(middle,class)","(million,americans)","(millions,americans)","(mobile,office)","(move,forward)","(mueller,investigation)","(mueller,report)","(national,emergency)","(national,guard)","(national,park)","(national,parks)","(national,security)","(natural,resources)","(north,carolina)","(office,hours)","(op,ed)","(opioid,crisis)","(opioid,epidemic)","(paris,agreement)","(passed,house)","(past,time)","(paycheck,fairness)","(paycheckfairness,act)","(paying,jobs)","(people,deserve)","(people,pre)","(please,join)","(pre,existing)","(prescription,drug)","(prescription,drugs)","(president,george)","(president,realdonaldtrump)","(president,trump)","(press,conference)","(pro,growth)","(protection,act)","(proud,cosponsor)","(proud,join)","(proud,stand)","(proud,support)","(public,health)","(public,lands)","(public,service)","(puerto,rico)","(quality,affordable)","(read,statement)","(reopen,government)","(robert,mueller)","(rule,law)","(rural,communities)","(save,lives)","(savethenet,act)","(school,students)","(secure,border)","(senate,floor)","(sent,letter)","(service,country)","(sexual,assault)","(signed,law)","(social,security)","(south,carolina)","(southern,border)","(special,counsel)","(sri,lanka)","(subcommittee,hearing)","(supreme,court)","(survivors,protection)","(taking,time)","(task,force)","(tax,cuts)","(tax,reform)","(tax,returns)","(thank,service)","(time,congress)","(town,hall)","(town,halls)","(trump,admin)","(trump,administration)","(trump,campaign)","(unemployment,rate)","(victims,families)","(violence,women)","(voting,rights)","(watch,live)","(white,house)","(women,act)",name,party,position,score_0,score_115,score_116,state
54,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6,0,0,0,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Deb Fischer,R,S,0.9270833333333334,0.9285714285714286,0.9166666666666666,Nebraska
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6,2,0,0,0,1,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,2,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,2,0,1,Debbie Stabenow,D,S,0.2916666666666667,0.3333333333333333,0.0,Michigan
9,0,0,0,0,0,1,0,0,0,0,5,1,1,0,4,0,0,1,3,1,0,0,0,5,1,2,1,0,0,0,0,0,0,5,0,1,1,0,1,5,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,3,0,1,0,0,0,2,0,0,0,0,3,0,1,8,0,0,0,0,0,3,0,1,4,0,0,1,0,2,6,0,2,1,3,0,1,0,0,0,0,0,0,1,1,3,0,1,2,15,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,17,0,0,1,1,4,1,0,1,0,0,0,0,2,0,0,3,0,2,0,0,0,1,0,0,4,0,0,1,1,2,2,0,5,0,0,0,1,0,0,0,1,0,0,0,5,2,0,0,3,2,0,1,2,Dianne Feinstein,D,S,0.24210526315789474,0.27710843373493976,0.0,California
2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,Doug Jones,D,S,0.41025641025641024,0.5185185185185185,0.16666666666666666,Alabama
42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,2,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,6,0,30,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,2,0,1,5,0,1,0,0,0,0,1,0,5,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,0,2,5,0,0,1,0,0,3,1,0,Edward Markey,D,S,0.14736842105263154,0.1566265060240964,0.08333333333333333,Massachusetts
41,0,0,0,0,0,1,0,0,0,0,0,0,11,1,1,1,0,2,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,3,0,1,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,3,1,5,0,1,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,3,0,0,0,1,0,0,1,3,Elizabeth Warren,D,S,0.125,0.13095238095238096,0.08333333333333333,Massachusetts
44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,2,2,4,0,0,0,0,1,1,0,0,0,1,0,0,1,3,0,5,0,0,0,0,6,1,0,0,5,2,0,1,1,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,Gary Peters,D,S,0.29473684210526313,0.3373493975903614,0.0,Michigan
78,0,0,0,1,1,0,0,0,1,0,1,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,6,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,1,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,9,2,1,0,0,0,0,0,1,0,Jack Reed,D,S,0.25,0.2857142857142857,0.0,Rhode Island
55,0,1,0,0,0,0,0,0,3,0,2,1,8,0,0,1,0,0,0,0,1,12,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,2,0,0,0,5,0,0,1,0,1,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,1,0,6,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Jacky Rosen,D,S,0.3883495145631068,,0.0,Nevada
71,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,1,0,1,2,2,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,James Lankford,R,S,0.90625,0.9047619047619048,0.9166666666666666,Oklahoma
