"custom_id","twitter_handle","bigram","custom_id-2","twitter_handle-2","fullname","newssource","newssource_party","newsspource_lean"
2006,"patlyonsnyt","(king,jr)",2006,"patlyonsnyt","Patrick J. Lyons","nytimes","D","d_solid"
2006,"patlyonsnyt","(donald,trump)",2006,"patlyonsnyt","Patrick J. Lyons","nytimes","D","d_solid"
2006,"patlyonsnyt","(north,carolina)",2006,"patlyonsnyt","Patrick J. Lyons","nytimes","D","d_solid"
2006,"patlyonsnyt","(middle,class)",2006,"patlyonsnyt","Patrick J. Lyons","nytimes","D","d_solid"
2006,"patlyonsnyt","(issues,facing)",2006,"patlyonsnyt","Patrick J. Lyons","nytimes","D","d_solid"
2006,"patlyonsnyt","(national,security)",2006,"patlyonsnyt","Patrick J. Lyons","nytimes","D","d_solid"
2006,"patlyonsnyt","(white,house)",2006,"patlyonsnyt","Patrick J. Lyons","nytimes","D","d_solid"
2006,"patlyonsnyt","(sexual,assault)",2006,"patlyonsnyt","Patrick J. Lyons","nytimes","D","d_solid"
2006,"patlyonsnyt","(trump,campaign)",2006,"patlyonsnyt","Patrick J. Lyons","nytimes","D","d_solid"
2006,"patlyonsnyt","(donald,trump)",2006,"patlyonsnyt","Patrick J. Lyons","nytimes","D","d_solid"
2007,"DavidFurstNYT","(climate,change)",2007,"DavidFurstNYT","David Furst","nytimes","D","d_solid"
2007,"DavidFurstNYT","(climate,change)",2007,"DavidFurstNYT","David Furst","nytimes","D","d_solid"
2007,"DavidFurstNYT","(sexual,assault)",2007,"DavidFurstNYT","David Furst","nytimes","D","d_solid"
2007,"DavidFurstNYT","(family,friends)",2007,"DavidFurstNYT","David Furst","nytimes","D","d_solid"
2007,"DavidFurstNYT","(climate,change)",2007,"DavidFurstNYT","David Furst","nytimes","D","d_solid"
2008,"TommasiniNYT","(21st,century)",2008,"TommasiniNYT","Anthony Tommasini","nytimes","D","d_solid"
2008,"TommasiniNYT","(looking,forward)",2008,"TommasiniNYT","Anthony Tommasini","nytimes","D","d_solid"
2009,"kchangnyt","(climate,change)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(trump,administration)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(white,house)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(federal,government)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(trump,administration)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(town,hall)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(happy,birthday)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(mueller,report)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(election,day)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(climate,change)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(climate,change)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(mueller,report)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(donald,trump)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2009,"kchangnyt","(house,senate)",2009,"kchangnyt","Kenneth Chang","nytimes","D","d_solid"
2010,"flynnkaNYT","(donald,trump)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
