Senator,State,Twitter,Facebook
Kevin Cramer,North Dakota,@SenKevinCramer,https://www.facebook.com/SenatorKevinCramer/
Rob Portman,Ohio,@senrobportman,https://www.facebook.com/robportman
Sherrod Brown,Ohio,@SenSherrodBrown,https://www.facebook.com/sherrod
James Lankford,Oklahoma,@SenatorLankford,https://www.facebook.com/SenatorLankford
Jim Inhofe,Oklahoma,@InhofePress,https://www.facebook.com/jiminhofe
Ron Wyden,Oregon,@RonWyden,https://www.facebook.com/wyden
Jeff Merkley,Oregon,@SenJeffMerkley,https://www.facebook.com/jeffmerkley
Patrick Toomey,Pennsylvania,@SenToomey,https://www.facebook.com/senatortoomey
"Bob Casey, Jr.",Pennsylvania,@SenBobCasey,https://www.facebook.com/SenatorBobCasey
Sheldon Whitehouse,Rhode Island,@SenWhitehouse,https://www.facebook.com/SenatorWhitehouse
Jack Reed,Rhode Island,@SenJackReed,https://www.facebook.com/SenJackReed
Tim Scott,South Carolina,@SenatorTimScott,https://www.facebook.com/SenatorTimScott
Lindsey Graham,South Carolina,@GrahamBlog,https://www.facebook.com/USSenatorLindseyGraham
John Thune,South Dakota,@SenJohnThune,https://www.facebook.com/johnthune
Mike Rounds,South Dakota,@SenatorRounds,https://www.facebook.com/SenatorMikeRounds
Marsha Blackburn,Tennessee,@MarshaBlackburn,https://www.facebook.com/marshablackburn/
Lamar Alexander,Tennessee,@SenAlexander,https://www.facebook.com/senatorlamaralexander
Ted Cruz,Texas,@SenTedCruz,https://www.facebook.com/SenatorTedCruz
John Cornyn,Texas,@JohnCornyn,https://www.facebook.com/Sen.JohnCornyn
Mike Lee,Utah,@SenMikeLee,https://www.facebook.com/senatormikelee
Mitt Romney,Utah,@SenatorRomney,https://www.facebook.com/senatorromney/
Bernie Sanders,Vermont,@SenSanders,https://www.facebook.com/senatorsanders
Patrick Leahy,Vermont,@SenatorLeahy,https://www.facebook.com/SenatorPatrickLeahy
Mark Warner,Virginia,@MarkWarner,https://www.facebook.com/MarkRWarner
Tim Kaine,Virginia,@timkaine,https://www.facebook.com/SenatorKaine
Patty Murray,Washington,@PattyMurray,https://www.facebook.com/pattymurray
Maria Cantwell,Washington,@SenMikeLee,https://www.facebook.com/senatorcantwell
Joe Manchin,West Virginia,@Sen_JoeManchin,https://www.facebook.com/JoeManchinIII
Shelley Moore Capito,West Virginia,@SenCapito,https://www.facebook.com/senshelley
Ron Johnson,Wisconsin,@SenRonJohnson,https://www.facebook.com/senronjohnson
Tammy Baldwin,Wisconsin,@SenatorBaldwin,https://www.facebook.com/senatortammybaldwin
Mike Enzi,Wyoming,@SenatorEnzi,https://www.facebook.com/mikeenzi
John Barrasso,Wyoming,@SenJohnBarrasso,https://www.facebook.com/johnbarrasso
U.S. HOUSE OF REPRESENTATIVES,,,
Representative,District,Twitter,Facebook
"Byrne, Bradley",Alabama 1st District,@RepByrne,https://www.facebook.com/RepByrne
"Roby, Martha",Alabama 2nd District,@RepMarthaRoby,https://www.facebook.com/Representative.Martha.Roby/
"Rogers, Mike",Alabama 3rd District,@RepMikeRogersAL,https://www.facebook.com/pages/Mike-Rogers/6406874733?sk=wall
"Aderholt, Robert",Alabama 4th District,@Robert_Aderholt,https://www.facebook.com/RobertAderholt
"Brooks, Mo",Alabama 5th District,@RepMoBrooks,https://www.facebook.com/RepMoBrooks
"Palmer, Gary",Alabama 6th District,@USRepGaryPalmer,https://www.facebook.com/USRepresentativeGaryPalmer
"Sewell, Terri A.",Alabama 7th District,@RepTerriSewell,https://www.facebook.com/RepSewell
"Young, Don",Alaska At-Large,@repdonyoung,https://www.facebook.com/RepDonYoung
"Radewagen, Amata",American Samoa At-Large,@RepAmata,https://www.facebook.com/congresswomanaumuaamata
"O’Halleran, Tom",Arizona 1st District,@TomOHalleran,https://www.facebook.com/OhalleranforAZ
"Kirkpatrick, Ann",Arizona 2nd District,@RepKirkPatrick,https://www.facebook.com/RepAnnKirkpatrick/
"Grijalva, Raul",Arizona 3rd District,@RepRaulGrijalva,https://www.facebook.com/Rep.Grijalva
"Gosar, Paul A.",Arizona 4th District,@RepGosar,https://www.facebook.com/repgosar
"Biggs, Andy",Arizona 5th District,@AndyBiggs4AZ,https://www.facebook.com/biggsforcongress
"Schweikert, David",Arizona 6th District,@RepDavid,https://www.facebook.com/repdavidschweikert
